particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
102	"1"	"0"	NA	NA	1.32	1.8	0.47
3	"5"	"2"	NA	10	0.07	0.55	0.02
164	"0"	"0"	NA	NA	2.41	1.64	0.52
34	"4"	"0"	NA	NA	1.71	1.88	0.16
6	"3"	"1"	NA	NA	0.34	1.68	0.12
74	"1"	"2"	NA	NA	1.47	1.28	0.7
76	"4"	"0"	NA	NA	2.41	2.21	0.28
12	"4"	"2"	NA	NA	0.04	2	0.41
114	"0"	"0"	NA	NA	0.91	2.44	0.08
23	"4"	"1"	NA	NA	1.85	1.19	0.02
15	"4"	"1"	NA	NA	1.6	1.7	0.32
34	"4"	"0"	NA	NA	2.38	2.16	0.2
56	"0"	"0"	NA	NA	2.24	2.32	0.27
68	"4"	"0"	NA	NA	1.91	2.4	0.35
17	"5"	"0"	NA	10	1.8	2.2	0.33
6	"4"	"1"	NA	NA	1.74	1.79	0.46
98	"4"	"0"	NA	NA	2.07	2.34	0.4
19	"5"	"0"	NA	10	1.97	2.42	0.26
9	"4"	"0"	NA	NA	1.86	2.44	0.31
5	"4"	"0"	NA	NA	1.83	2.37	0.36
92	"4"	"0"	NA	NA	2.18	2.41	0.3
21	"4"	"0"	NA	NA	1.89	2.36	0.38
16	"4"	"0"	NA	NA	1.8	2.36	0.3
82	"4"	"0"	NA	NA	2.17	2.19	0.4
73	"0"	"0"	NA	NA	0.57	1.53	0.81
182	"0"	"0"	NA	NA	2.01	2.43	0.62
22	"4"	"0"	NA	NA	0.08	2.41	0.52
59	"4"	"0"	NA	NA	1.17	2.26	0.46
137	"4"	"0"	NA	NA	2.46	1.44	0.7
171	"4"	"0"	NA	NA	2.28	2.29	0.67
40	"4"	"0"	NA	NA	1.22	2.19	0.67
61	"4"	"0"	NA	NA	0.56	2.15	0.6
183	"4"	"0"	NA	NA	2.22	2.24	0.52
29	"4"	"0"	NA	NA	0.84	2.42	0.52
185	"0"	"0"	NA	NA	1.91	2.46	0.6
94	"4"	"0"	NA	NA	0.67	2.44	0.58
137	"4"	"0"	NA	NA	1.97	2.49	0.56
136	"4"	"0"	NA	NA	1.87	2.41	0.54
134	"4"	"0"	NA	NA	1.96	2.39	0.5
96	"4"	"0"	NA	NA	0.56	2.35	0.49
134	"4"	"0"	NA	NA	2.09	2.3	0.53
131	"4"	"0"	NA	NA	2.01	2.28	0.51
128	"4"	"0"	NA	NA	2.04	2.38	0.54
45	"4"	"0"	NA	NA	2.46	0.66	0.84
20	"1"	"0"	NA	NA	1.52	2.22	0.28
57	"0"	"0"	NA	NA	2.3	2.38	0.23
143	"5"	"0"	NA	5	0.44	2.48	0.35
62	"1"	"1"	NA	NA	1.15	1.46	0.77
35	"1"	"0"	NA	NA	1.84	2.01	0.26
114	"1"	"0"	NA	NA	0.19	2.48	0.36
67	"4"	"0"	NA	NA	1.4	2.18	0.06
72	"0"	"0"	NA	NA	2.15	2.46	0.35
64	"1"	"0"	NA	NA	0.74	2.11	0.44
13	"1"	"0"	NA	NA	1.43	2.38	0.2
55	"0"	"0"	NA	NA	2.11	2.48	0.27
52	"0"	"0"	NA	NA	2.02	2.46	0.25
9	"1"	"0"	NA	NA	1.54	2.48	0.26
63	"0"	"0"	NA	NA	2	2.43	0.2
60	"4"	"0"	NA	NA	1.17	0.81	0.8
144	"5"	"0"	NA	9	0.11	1.71	0.42
167	"0"	"0"	NA	NA	1.23	2.36	0.49
40	"1"	"0"	NA	NA	2.44	1.3	0.73
24	"1"	"1"	NA	NA	1.39	0.1	0.84
139	"5"	"0"	NA	8	1.05	1.8	0.56
124	"4"	"0"	NA	NA	1.45	2.43	0.49
174	"4"	"0"	NA	NA	0.77	1.98	0.39
158	"0"	"0"	NA	NA	1.24	2.31	0.68
158	"4"	"0"	NA	NA	1.95	2.36	0.39
138	"4"	"0"	NA	NA	1.46	1.8	0.7
132	"4"	"0"	NA	NA	0.82	2.17	0.62
138	"4"	"0"	NA	NA	1.89	2.15	0.51
112	"4"	"0"	NA	NA	1.24	2.19	0.52
112	"4"	"0"	NA	NA	1.19	2.42	0.45
145	"4"	"0"	NA	NA	1.62	2.23	0.37
148	"4"	"0"	NA	NA	1.33	2.49	0.45
105	"4"	"0"	NA	NA	1.24	2.32	0.42
149	"4"	"0"	NA	NA	1.21	2.44	0.51
142	"4"	"0"	NA	NA	1.27	2.48	0.5
132	"4"	"0"	NA	NA	1.26	2.45	0.46
119	"4"	"0"	NA	NA	0.58	1.94	0.66
156	"4"	"0"	NA	NA	0.74	2.09	0.6
29	"4"	"1"	NA	NA	2.03	1.59	0.84
33	"4"	"0"	NA	NA	0.8	1.92	0.41
95	"4"	"0"	NA	NA	0.33	2.07	0.36
106	"4"	"0"	NA	NA	0.98	2.31	0.65
86	"4"	"0"	NA	NA	1.75	2.24	0.5
189	"4"	"0"	NA	NA	1.71	2.2	0.45
58	"4"	"0"	NA	NA	1.23	2.28	0.55
62	"4"	"0"	NA	NA	2.44	2.13	0.37
148	"4"	"0"	NA	NA	1.32	2.25	0.28
108	"4"	"0"	NA	NA	1.73	2.45	0.46
87	"4"	"0"	NA	NA	1.67	2.36	0.48
73	"4"	"0"	NA	NA	1.88	2.22	0.55
119	"4"	"0"	NA	NA	1.69	2.43	0.39
67	"4"	"0"	NA	NA	1.58	2.49	0.41
67	"4"	"0"	NA	NA	1.81	2.47	0.45
81	"4"	"0"	NA	NA	1.81	2.27	0.42
78	"4"	"0"	NA	NA	2.06	2.25	0.54
87	"4"	"0"	NA	NA	1.87	2.49	0.42
55	"4"	"0"	NA	NA	1.48	2.35	0.47
67	"4"	"0"	NA	NA	1.91	2.33	0.44
9	"1"	"1"	NA	NA	1.12	1.51	0.67
29	"4"	"1"	NA	NA	1.38	0.9	0.48
94	"1"	"1"	NA	NA	2.12	2.11	0.63
107	"2"	"0"	NA	NA	0.71	2.27	0.46
187	"4"	"1"	NA	NA	1.57	2.04	0.83
10	"5"	"1"	NA	4	1.41	1.84	0.56
64	"1"	"1"	NA	NA	2.25	1.03	0.58
31	"1"	"1"	NA	NA	1.6	1.62	0.44
31	"1"	"1"	NA	NA	2.49	0.32	0.65
97	"1"	"2"	NA	NA	2.09	2.23	0.57
43	"1"	"1"	NA	NA	1.93	1.12	0.49
72	"1"	"1"	NA	NA	2.13	1.06	0.5
55	"1"	"1"	NA	NA	2.37	1.21	0.57
47	"1"	"1"	NA	NA	2.33	0.9	0.52
45	"1"	"1"	NA	NA	2.38	1.45	0.59
49	"1"	"1"	NA	NA	2.14	1.22	0.5
55	"1"	"1"	NA	NA	2.11	1.48	0.52
52	"1"	"1"	NA	NA	1.97	1.4	0.48
66	"1"	"1"	NA	NA	2.05	1.48	0.59
