particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
30	"5"	"1"	NA	8	2.12	1.41	0.34
167	"5"	"0"	NA	10	0.72	1.56	0.28
55	"5"	"0"	NA	9	2.43	2.34	0.45
179	"4"	"2"	NA	NA	0.25	2.03	0.56
142	"4"	"2"	NA	NA	1.03	1.88	0.62
79	"5"	"0"	NA	10	1.98	1.97	0.17
36	"5"	"0"	NA	10	2.4	2.09	0.26
113	"4"	"2"	NA	NA	0.18	2.31	0.67
8	"5"	"2"	NA	9	0.65	1.97	0.57
12	"1"	"1"	NA	NA	1.59	1.74	0.12
29	"1"	"0"	NA	NA	1.99	2.34	0.13
12	"4"	"0"	NA	NA	2.14	1.58	0.3
18	"5"	"0"	NA	10	2.15	2.49	0.12
9	"5"	"0"	NA	8	2.4	1.98	0.08
23	"1"	"0"	NA	NA	2.06	2.47	0.12
48	"1"	"0"	NA	NA	1.53	2.12	0.18
28	"4"	"0"	NA	NA	2.01	1.89	0.32
46	"1"	"0"	NA	NA	2.09	2.13	0.15
28	"1"	"0"	NA	NA	2.1	2.21	0.25
35	"1"	"0"	NA	NA	2.08	2.45	0.16
26	"1"	"0"	NA	NA	1.98	2.14	0.1
47	"1"	"0"	NA	NA	2.09	2.05	0.14
14	"4"	"0"	NA	NA	1.92	2.09	0.24
170	"1"	"2"	NA	NA	1.35	2.32	0.79
11	"2"	"0"	NA	NA	0.92	2.28	0.3
52	"5"	"0"	NA	10	2.37	2.25	0.65
95	"0"	"0"	NA	NA	1.04	2.01	0.68
157	"5"	"0"	NA	6	1.82	0.6	0.62
49	"0"	"0"	NA	NA	1.62	2.08	0.6
5	"2"	"1"	NA	NA	2.45	2.44	0.75
27	"4"	"0"	NA	NA	2.12	2.31	0.7
90	"1"	"0"	NA	NA	1.89	2.13	0.61
59	"4"	"2"	NA	NA	2.02	2.37	0.67
24	"5"	"0"	NA	9	2.17	2.39	0.63
61	"4"	"0"	NA	NA	1.93	1.99	0.58
66	"1"	"0"	NA	NA	1.85	2.24	0.61
22	"4"	"0"	NA	NA	2.14	1.71	0.61
60	"4"	"0"	NA	NA	2.33	2.49	0.74
52	"4"	"0"	NA	NA	2.3	2.2	0.67
85	"4"	"0"	NA	NA	2.11	2.33	0.54
70	"1"	"0"	NA	NA	1.8	2.4	0.6
66	"4"	"0"	NA	NA	2.48	2.32	0.66
63	"4"	"0"	NA	NA	2.31	2.18	0.69
54	"4"	"0"	NA	NA	2.32	2.23	0.67
98	"4"	"0"	NA	NA	2.41	2.41	0.75
120	"4"	"0"	NA	NA	1.12	1.27	0.51
33	"1"	"0"	NA	NA	1.59	1.12	0.79
39	"1"	"0"	NA	NA	0.89	2.45	0.2
139	"4"	"2"	NA	NA	2.14	1.2	0.65
162	"4"	"0"	NA	NA	1.92	1.97	0.47
114	"4"	"2"	NA	NA	2.13	2.47	0.83
107	"4"	"0"	NA	NA	2.35	2.15	0.4
105	"4"	"0"	NA	NA	1.83	2.33	0.56
74	"4"	"0"	NA	NA	2.4	2.16	0.53
80	"4"	"0"	NA	NA	2.24	2.39	0.6
119	"4"	"0"	NA	NA	2.44	2.19	0.4
82	"4"	"0"	NA	NA	2.17	2.11	0.47
57	"4"	"0"	NA	NA	2.18	2.18	0.47
78	"4"	"0"	NA	NA	2.47	1.81	0.55
104	"4"	"0"	NA	NA	2.27	2.39	0.41
116	"4"	"0"	NA	NA	2.36	2.29	0.38
67	"1"	"0"	NA	NA	0.63	1.33	0.84
135	"4"	"0"	NA	NA	0.24	2.34	0.25
5	"0"	"1"	NA	NA	0.47	1.48	0.79
36	"1"	"2"	NA	NA	1.49	1.09	0.7
142	"5"	"0"	NA	2	2.19	1.01	0.51
200	"5"	"0"	NA	10	1.17	2.18	0.45
97	"1"	"0"	NA	NA	0.72	1.69	0.46
154	"4"	"2"	NA	NA	0.88	2.04	0.75
114	"4"	"2"	NA	NA	0.86	1.93	0.57
